state_fips,county_fips,total_emp,manufacturing_emp,prop_manuf_loss,prop_total_loss
17,049,18116,3332,0.009603841536614645,0.0017663943475380878
17,051,4958,1,0,0
17,053,4236,1,0,0
17,055,6761,457,0.7045951859956237,0.0476260908149682
17,057,7084,1,0,0
17,059,686,1,0,0
17,061,1777,1,0,0
17,063,15037,1544,0.06023316062176166,0.006184744297399747
17,065,1356,1,0,0
17,067,2847,375,1,0.1742184755883386
17,069,760,1,0,0
17,071,620,1,0,0
17,073,12861,3639,0.04589172849683979,0.012984993390871627
17,075,6496,973,0.19527235354573483,0.029248768472906403
17,077,16961,1,0,0
17,079,1758,1,0,0
17,081,16552,2914,0.017844886753603295,0.003141614306428226
17,083,4909,1,0,0
17,085,7114,1171,0.36976942783945344,0.060865898228844535
17,087,1559,1,0,0
17,089,174964,28259,0.07218939099048091,0.011659541391371939
17,091,35858,5021,0.05915156343357897,0.008282670533772102
17,093,20118,1,0,0
17,095,16009,974,0.045174537987679675,0.0027484539946280215
17,097,319399,44070,0.05023825731790334,0.006931768728142542
17,099,36076,4930,0.0038539553752535496,5.266659274864176e-4
17,101,3349,1,0,0
17,103,9653,3083,0.07103470645475186,0.02268724748782762
17,105,12321,3424,0.013142523364485981,0.003652300949598247
17,107,7573,1,0,0
17,109,9341,1,0,0
17,111,85520,18166,0.07387427061543543,0.01569223573433115
17,113,78693,4814,0.3926049023680931,0.024017384011284358
17,115,46139,7924,0.011231701161029783,0.0019289538134766684
17,117,9046,1,0,0
17,119,83793,13167,0.328700539226855,0.051651092573365316
17,121,10527,1,0,0
17,123,2878,1,0,0
17,125,2473,200,0.2,0.016174686615446826
17,127,4092,750,0.4573333333333333,0.08382209188660801
17,129,1390,1,0,0
17,131,2303,1,0,0
17,133,7516,1,0,0
17,135,7764,922,0.08893709327548807,0.01056156620298815
17,137,13026,1,0,0
17,139,4386,1,0,0
17,141,13068,1,0,0
17,143,108226,10272,0.19265965732087229,0.018285809324931162
17,145,4409,375,0.26666666666666666,0.022680880018144705
17,147,2594,1,0,0
17,149,3172,1,0,0
17,151,327,1,0,0
17,153,965,10,1,0.035233160621761656
17,155,1297,358,0.8100558659217877,0.2235929067077872
17,157,10439,2893,0.07258900795022467,0.020116869431937925
17,159,5403,550,0.15818181818181817,0.016102165463631316
17,161,63600,8328,0.14553314121037464,0.019056603773584906
17,163,79282,5165,0.007357212003872217,4.793017330541611e-4
17,165,7920,1,0,0
17,167,82240,2923,0.06500171057133082,0.0023103112840466926
17,169,1217,1,0,0
17,171,597,1,0,0
17,173,4358,1,0,0
17,175,983,1,0,0
17,177,14488,2537,0.14426487977926686,0.02526228602981778
17,179,44395,7704,0.03984942886812046,0.0069151931523820254
17,181,3527,1,0,0
17,183,24945,5059,0.004348685510970548,8.819402685909e-4
17,185,2822,1,0,0
17,187,5595,1722,0.004645760743321719,0.0014298480786416443
17,189,5482,1,0,0
17,191,3336,750,1,0.2395083932853717
17,193,3418,1,0,0
17,195,18062,3948,0.14842958459979735,0.03244380467279371
17,197,184968,19731,0.07252546753839137,0.007736473335928377
17,199,22148,1,0,0
17,201,120990,24558,0.024676276569753238,0.005008678403173816
17,203,8129,1906,0.03462749213011543,0.008119079837618403
18,001,11848,4418,0.06699864191942055,0.024983119513842
18,003,162419,26485,0.06248820086841608,0.010189694555439943
18,005,40133,11132,0.04671218109953288,0.012956918246829293
18,007,1534,1,0,0
18,009,2807,1058,0.2627599243856333,0.09903811898824368
18,011,16775,1,0,0
18,013,2171,1,0,0
18,015,4424,1,0,0
18,017,13008,4031,0.24237161994542297,0.07510762607626076
18,019,42629,7291,0.04663283500205733,0.007975791128105281
18,021,4794,1,0,0
18,023,8465,3223,0.03102699348433137,0.011813349084465446
18,025,1255,1,0,0
18,027,9995,1,0,0
18,029,13609,1356,0.07595870206489676,0.007568520831802483
18,031,9721,3862,0.06861729673744174,0.02726056990021603
18,033,16369,6763,0.047612006505988465,0.01967132995295986
18,035,38335,4074,0.2820324005891016,0.029972609886526672
18,037,25123,9593,0.04774314604399041,0.018230306890100703
18,039,92665,41093,0.04025016426155306,0.0178492418928398
18,041,5363,812,0.09975369458128079,0.015103486854372553
18,043,24167,5066,0.10007895775759969,0.02097902097902098
18,045,4558,1,0,0
18,047,4406,1,0,0
18,049,5456,1822,0.013721185510428101,0.004582111436950147
18,053,25832,3910,0.12557544757033248,0.01900743264168473
18,055,6267,1,0,0
18,057,100070,4897,0.10475801511129262,0.005126411511941641
18,059,17136,2804,0.1733238231098431,0.028361344537815126
18,061,9425,1594,0.028230865746549563,0.004774535809018567
18,063,45323,3030,0.06171617161716172,0.004125940471725173
18,065,11344,2493,0.03850782190132371,0.00846262341325811
18,067,30438,8333,0.07836313452538102,0.02145344634995729
18,069,12753,3499,0.41954844241211775,0.11511017015604172
18,071,17372,1,0,0
18,073,9431,1,0,0
18,075,6199,1,0,0
18,077,10572,2383,0.01888375996642887,0.004256526674233825
18,079,6195,1,0,0
18,081,39827,5163,0.0050358318806895215,6.528234614708615e-4
18,083,13313,1360,0.4279411764705882,0.04371666791857583
18,085,31158,12404,0.005562721702676556,0.002214519545542076
18,087,8745,3884,0.05046343975283213,0.022412807318467697
18,089,167000,24082,0.06847437920438502,0.009874251497005987
18,091,34772,7296,0.02042214912280702,0.004285056942367422
18,093,10577,1,0,0
18,095,33639,2971,0.009087849209020532,8.026397930972978e-4
18,097,503410,52494,0.08069493656417877,0.008414612343815181
18,099,15834,5270,0.0056925996204933585,0.0018946570670708603
18,101,1788,1,0,0
18,103,7525,2125,0.07764705882352942,0.021926910299003323
18,105,47533,6441,0.07669616519174041,0.010392779753013696
