state_cens,state,state2,empl,member,year
33,Illinois,IL,4989907.662499967,1037950.2349999979,1990
32,Indiana,IN,2386731.842500001,472265.72250000027,1990
42,Iowa,IA,1149022.0224999986,177122.03083333332,1990
47,Kansas,KS,1034174.2025000013,116340.35916666663,1990
61,Kentucky,KY,1446574.5991666687,205636.84249999994,1990
72,Louisiana,LA,1473744.3475000027,113574.6408333334,1990
11,Maine,ME,507220.31750000117,88196.91000000006,1990
52,Maryland,MD,2268902.0983333387,327895.4416666667,1990
14,Massachusetts,MA,2735319.1199999894,479096.6274999999,1990
34,Michigan,MI,3852335.7675000057,973903.1358333328,1990
41,Minnesota,MN,1936042.0533333288,390015.0558333332,1990
64,Mississippi,MS,962209.8191666665,75807.45833333328,1990
43,Missouri,MO,2153965.674999997,293952.0116666667,1990
81,Montana,MT,300799.69833333296,54135.99416666669,1990
46,Nebraska,NE,659461.5175000005,72467.84249999996,1990
88,Nevada,NV,559922.3966666663,91178.0016666667,1990
12,New Hampshire,NH,516367.46083333425,59096.985833333354,1990
22,New Jersey,NJ,3444113.8133333162,827478.1991666678,1990
85,New Mexico,NM,551805.1591666661,38604.68833333334,1990
21,New York,NY,7542337.0008333465,2113396.5983333383,1990
56,North Carolina,NC,2953428.696666667,152485.7325,1990
44,North Dakota,ND,242148.3525000002,28824.903333333332,1990
31,Ohio,OH,4600733.920000004,960062.4124999992,1990
73,Oklahoma,OK,1208410.664166665,127713.78750000003,1990
92,Oregon,OR,1166764.2208333332,235723.81249999956,1990
23,Pennsylvania,PA,4923810.809166666,1001276.1858333315,1990
15,Rhode Island,RI,434067.3191666668,78283.6841666667,1990
57,South Carolina,SC,1482351.0091666677,67637.26166666669,1990
45,South Dakota,SD,256666.81583333304,21479.391666666674,1990
62,Tennessee,TN,1999907.0233333276,234015.5683333334,1990
74,Texas,TX,7130222.061666665,450979.9141666665,1990
87,Utah,UT,677125.8633333332,62841.76250000002,1990
13,Vermont,VT,233436.0000000001,29316.509166666667,1990
54,Virginia,VA,2781133.690000009,231625.35833333348,1990
91,Washington,WA,2076548.1483333395,469653.2666666661,1990
55,West Virginia,WV,621494.2558333327,119594.01666666674,1990
35,Wisconsin,WI,2190254.923333334,447821.6599999997,1990
83,Wyoming,WY,188881.58833333367,25330.055,1990
63,Alabama,AL,1604948.1616666676,213307.49833333344,1991
94,Alaska,AK,215736.78250000032,46054.573333333334,1991
86,Arizona,AZ,1443472.665000002,111225.14083333338,1991
71,Arkansas,AR,885122.8650000007,89849.7375,1991
93,California,CA,12116373.450833378,2185071.2349999985,1991
84,Colorado,CO,1479541.2616666667,145036.57916666666,1991
